"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,1.259411680E-2,-1.156686552E0,-2.481973475E-1
9.981999996E-3,1.658532387E-1,-1.110116403E0,-1.227211282E0
1.996400000E-2,-2.704356425E-2,-9.499747615E-1,-2.556669901E0
2.994499999E-2,-1.407395206E-1,-7.062390587E-1,-4.245974357E0
3.992700000E-2,-1.019613711E-1,-4.741147569E-1,-5.460729901E0
4.990900000E-2,-3.625090979E-4,-2.612981073E-1,-5.848959292E0
5.989100000E-2,-1.524386708E-2,-7.301008880E-2,-6.183344014E0
6.987300000E-2,-6.537523314E-2,1.202997378E-1,-6.994745758E0
7.985500000E-2,-5.217270899E-2,2.592830106E-1,-7.691412851E0
8.983700000E-2,-1.597742541E-2,3.281821413E-1,-7.651031395E0
9.981900000E-2,-3.344767238E-3,3.379716960E-1,-6.974541873E0
1.098010000E-1,9.944135821E-3,2.877308111E-1,-6.351230439E0
1.197830000E-1,1.511726344E-2,2.011285771E-1,-6.101350263E0
1.297650000E-1,-5.559988542E-2,8.197006971E-2,-5.595705273E0
1.397460000E-1,-7.789595825E-2,-9.288185120E-2,-4.306613492E0
1.497280000E-1,5.130359804E-2,-2.787648368E-1,-2.667654147E0
1.597100000E-1,9.432318072E-2,-4.184767458E-1,-1.440716515E0
1.696920000E-1,-5.252880899E-2,-4.916286296E-1,-5.352395028E-1
1.796740000E-1,-2.100030242E-1,-5.363911119E-1,6.450414419E-1
1.896560000E-1,-1.159522416E-1,-5.965835193E-1,2.222834233E0
1.996380000E-1,1.341588266E-1,-6.171110469E-1,3.784677574E0
2.096200000E-1,1.730166626E-1,-5.569516763E-1,4.874444205E0
2.196017083E-1,-2.754424123E-2,-4.622998729E-1,5.532210358E0
2.295837083E-1,-2.060501603E-1,-3.931767207E-1,6.134578235E0
2.395647083E-1,-1.042042717E-1,-3.688721842E-1,6.814177891E0
2.495467083E-1,1.750562811E-1,-4.147421291E-1,7.342552178E0
2.595287083E-1,2.893089929E-1,-4.506887645E-1,7.500887176E0
2.695107083E-1,1.457654217E-1,-5.085528105E-1,7.178694484E0
2.794927083E-1,-1.020312453E-1,-5.658695573E-1,6.507207255E0
2.894747083E-1,-1.424338062E-1,-6.824001798E-1,5.738997724E0
2.994567083E-1,5.625894886E-2,-8.446206531E-1,5.047917645E0
3.094387083E-1,2.205539229E-1,-9.938386729E-1,4.258792039E0
3.194207083E-1,1.243008778E-1,-1.092007430E0,3.074757766E0
3.294027083E-1,-1.146206387E-1,-1.091046879E0,1.521213963E0
3.393837083E-1,-1.842480676E-1,-1.040311466E0,1.832634330E-2
3.493657083E-1,-2.722643592E-2,-9.840179819E-1,-1.092170421E0
3.593477083E-1,7.314744355E-2,-8.872690746E-1,-1.997815248E0
3.693297083E-1,-5.681976993E-3,-7.140447262E-1,-3.142061557E0
3.793117083E-1,-1.167956476E-1,-4.765701489E-1,-4.551170948E0
3.892937083E-1,-8.491832720E-2,-2.540858591E-1,-5.613354508E0
3.992757083E-1,-2.339399720E-2,-6.469198599E-2,-6.042066513E0
4.092577083E-1,-8.351068769E-3,8.736419924E-2,-6.283661769E0
4.192397083E-1,-2.957938291E-2,2.311071056E-1,-6.746682311E0
4.292207083E-1,-4.381286711E-2,3.235397445E-1,-7.193295566E0
4.392027083E-1,-3.413713676E-2,3.464788100E-1,-7.107751386E0
4.491847083E-1,-1.626568400E-2,2.903584036E-1,-6.438175612E0
4.591667083E-1,3.262842265E-3,2.068481773E-1,-5.684057286E0
4.691487083E-1,-5.393887418E-3,1.019374341E-1,-5.183065510E0
4.791307083E-1,-5.653367663E-2,-1.413242787E-2,-4.561260903E0
4.891127083E-1,-6.887565966E-2,-1.669369836E-1,-3.375384758E0
4.990947083E-1,3.099276457E-2,-3.151967910E-1,-1.862308949E0
5.090767083E-1,1.020524963E-1,-4.200885308E-1,-5.893876433E-1
5.190587083E-1,5.568851642E-3,-4.658736911E-1,3.973481244E-1
5.290397083E-1,-1.334102916E-1,-4.904007143E-1,1.499358825E0
5.390217083E-1,-7.419696394E-2,-4.973904759E-1,2.848787439E0
5.490037083E-1,1.037729847E-1,-4.943923160E-1,4.178052515E0
5.589857083E-1,1.602386509E-1,-4.605018541E-1,5.173226400E0
